sample_id,phase,anatolian_farmers,chg,iran_neolithic,baltic_central_eur_hg,early_spain_hg,russian_hg,ukraine_hg,western_hg
BUR285,2,0.712955228316646,0,0,0,0.287044771683353,0,0,0
BUR255,Unknown,0.6816056326424,0,0,0,0.318394367357599,0,0,0
BUR260,2,0.712979891038208,0,0,0,0.287020108961791,0,0,0
BUR282,2,0.701199964497087,0,0,0,0.298800035502912,0,0,0
BUR305,Unknown,0.70550048,0,0,0,0.294499520065402,0,0,0
BUR348,2,0.702154260755702,0,0,0,0.297845739244297,0,0,0
BUR270,2,0.693175673488658,0,0,0,0.306824326511341,0,0,0
BUR218,1,0.610174745,0,0,0,0.389825254632541,0,0,0
BUR266,1,0.688463102718908,0,0,0,0.311536897,0,0,0
BUR230,2,0.708200369073231,0,0,0,0.291799630926768,0,0,0
BUR235,2,0.718429222612883,0,0,0,0.281570777387116,0,0,0
BUR240,Unknown,0.695779332680577,0,0,0,0.304220667319422,0,0,0
BUR249,1,0.706777712655337,0,0,0,0.293222287344662,0,0,0
BUR265,2,0.713039298200022,0,0,0,0.286960701799977,0,0,0
BUR219,1,0.678219603218581,0,0,0,0.321780396781418,0,0,0
BUR195,2,0.714572738107343,0,0,0,0.281005335394333,0.002092835,0.002329091,0
BUR236,1,0.72667787315049,0,0,0,0.273322126849509,0,0,0
BUR290,1,0.654827236676884,0,0,0,0.345172763323115,0,0,0
BUR292,2,0.72618695882269,0,0,0,0.273813041177309,0,0,0
BUR268,2,0.707375791507209,0,0,0,0.29262420849279,0,0,0
BUR323,2,0.725029900832224,0,0,0,0.274970099167775,0,0,0
BUR189,1,0.738705862253099,0,0,0,0.2612941377469,0,0,0
BUR200,1,0.652526084723237,0,0,0,0.347473915276762,0,0,0
BUR231,2,0.70219601575731,0,0,0,0.291203781250963,0.006600203,0,0
BUR244,2,0.722251695828913,0,0,0,0.277748304171086,0,0,0
BUR216,1,0.662416793013205,0,0,0,0.337583206986794,0,0,0
BUR227,2,0.713273451101208,0,0,0,0.286726548898791,0,0,0
BUR272,2,0.720806732742555,0,0,0,0.279193267257444,0,0,0
BUR288,1,0.694798952,0,0,0,0.305201048199124,0,0,0
BUR176,1,0.67897464887904,0,0,0,0.321025351,0,0,0
BUR237,2,0.737115560132869,0,0,0,0.26288443986713,0,0,0
BUR310,2,0.726429741036898,0,0,0,0.273570258963101,0,0,0
BUR319,2,0.703771174291436,0,0,0,0.296228825708563,0,0,0
BUR298,1,0.700600756457047,0,0,0,0.299399243542952,0,0,0
BUR224,1,0.714089058810202,0,0,0,0.285910941189797,0,0,0
BUR254,1,0.612854386871213,0,0,0,0.387145613128786,0,0,0
BUR307,2,0.690912619577279,0,0,0,0.30908738042272,0,0,0
BUR297,2,0.701692289800495,0,0,0,0.298307710199504,0,0,0
BUR336,2,0.688472923973444,0,0,0,0.311527076026555,0,0,0
BUR182,2,0.723347165235446,0,0,0,0.276652834764553,0,0,0
BUR283,1,0.628502949,0,0,0,0.371497051089281,0,0,0
BUR349,1,0.589154871,0,0,0,0.410845129211434,0,0,0
BUR295,Unknown,0.734058493087982,0,0,0,0.265941506912017,0,0,0
BUR177,2,0.709475751181118,0,0,0,0.290524248818881,0,0,0
BUR225,1,0.679123118672289,0,0,0,0.32087688132771,0,0,0
BUR194,1,0.614895566243896,0,0,0,0.385104433756103,0,0,0
BUR202,1,0.764965402329954,0,0,0,0.235034597670045,0,0,0
BUR281,2,0.722928538385395,0,0,0,0.277071461614604,0,0,0
BUR344,1,0.529292048857127,0,0,0,0.470707951142872,0,0,0
BUR274,1,0.68520897933406,0,0,0,0.314791020665939,0,0,0
BUR280,2,0.695382912740914,0,0,0,0.304617087259085,0,0,0
BUR316,1,0.691102860140915,0,0,0,0.308897139859084,0,0,0
BUR250,2,0.719979419894581,0,0,0,0.280020580105418,0,0,0
BUR183,1,0.678848667509854,0,0,0,0.321151332490145,0,0,0
BUR271,1,0.637090850089516,0,0,0,0.362909149910483,0,0,0
BUR340,1,0.600934861175265,0,0,0,0.399065138824734,0,0,0
BUR220,Unknown,0.698310291006077,0,0,0,0.301689708993922,0,0,0
BUR263,1,0.649520849121798,0,0,0,0.350479150878201,0,0,0
BUR299,Unknown,0.683955908009783,0,0,0,0.316044092,0,0,0
BUR242,1,0.648382279585654,0,0,0,0.351617720414345,0,0,0
BUR315,1,0.734999341669815,0,0,0,0.263956936952579,0.001043721,0,0
BUR184,2,0.708951190836351,0,0,0,0.291048809163648,0,0,0
BUR300,2,0.67007034799271,0,0,0,0.329929652007289,0,0,0
BUR312,2,0.706300614,0,0,0,0.293699385601094,0,0,0
BUR212,1,0.621500976427569,0,0,0,0.37849902357243,0,0,0
BUR256,2,0.717235654282341,0,0,0,0.282764346,0,0,0
BUR334,1,0.65364667385502,0,0,0,0.346353326144979,0,0,0
BUR248,1,0.691642187996802,0,0,0,0.308357812003197,0,0,0
BUR239,2,0.712525014709033,0,0,0,0.287474985290966,0,0,0
BUR257,1,0.663217177922343,0,0,0,0.336782822077656,0,0,0
BUR286,1,0.670050266235068,0,0,0,0.329949733764931,0,0,0
BUR346,1,0.694464313474516,0,0,0,0.305535686525483,0,0,0
BUR169,2,0.718659956066841,0,0,0,0.281340043933158,0,0,0
BUR223,1,0.612796494707748,0,0,0,0.387203505292251,0,0,0
BUR314,2,0.710113742605455,0,0,0,0.289886257394544,0,0,0
BUR267,1,0.56636787992092,0,0,0,0.433632120079079,0,0,0
BUR209,1,0.675065160139635,0,0,0,0.32493484,0,0,0
BUR207,1,0.730507193790812,0,0,0,0.269492806209187,0,0,0
BUR226,2,0.708926026009754,0,0,0,0.291073973990245,0,0,0
BUR284,Unknown,0.715316412274663,0,0,0,0.284683587725336,0,0,0
